,event_name,DC Correction/,New Segment/,Response/Reaction,Stimulus/Frequent,Stimulus/Rare
0,New Segment/,,0.0,,,
1,Stimulus/Frequent,,,,0.0,
2,Stimulus/Frequent,,,,0.0,
3,Stimulus/Frequent,,,,0.0,
4,Stimulus/Frequent,,,,0.0,
5,Stimulus/Rare,,,0.396,,0.0
6,Response/Reaction,,,0.0,0.996,-0.396
7,Stimulus/Frequent,,,,0.0,
8,Stimulus/Frequent,,,,0.0,
9,Stimulus/Frequent,,,,0.0,
10,Stimulus/Rare,,,0.26,,0.0
11,Response/Reaction,,,0.0,,-0.26
12,Stimulus/Frequent,,,,0.0,
13,Stimulus/Frequent,,,,0.0,
14,Stimulus/Frequent,,,,0.0,
15,Stimulus/Frequent,,,,0.0,
16,Stimulus/Frequent,,,,0.0,
17,Stimulus/Frequent,,,0.188,0.0,
18,Response/Reaction,,,0.0,-0.188,
19,Stimulus/Rare,,,0.336,,0.0
20,Response/Reaction,,,0.0,,-0.336
21,Stimulus/Frequent,,,,0.0,
22,Stimulus/Frequent,,,,0.0,
23,Stimulus/Frequent,,,,0.0,
24,Stimulus/Rare,,,0.348,,0.0
25,Response/Reaction,,,0.0,,-0.348
26,Stimulus/Frequent,,,,0.0,
27,Stimulus/Frequent,,,,0.0,
28,Stimulus/Frequent,,,,0.0,
29,Stimulus/Frequent,,,,0.0,
30,Stimulus/Frequent,,,,0.0,
31,Stimulus/Rare,,,0.176,,0.0
32,Response/Reaction,,,0.0,,-0.176
33,Stimulus/Frequent,,,,0.0,
34,Stimulus/Frequent,,,,0.0,
35,Stimulus/Rare,,,,,0.0
36,Stimulus/Frequent,,,,0.0,
37,Stimulus/Frequent,,,,0.0,
38,Stimulus/Frequent,,,,0.0,
39,Stimulus/Frequent,,,,0.0,
40,Stimulus/Rare,,,0.284,,0.0
41,Response/Reaction,,,0.0,,-0.284
42,Stimulus/Frequent,,,,0.0,
43,Stimulus/Frequent,,,,0.0,
44,Stimulus/Frequent,,,,0.0,
45,Stimulus/Frequent,,,,0.0,
46,Stimulus/Frequent,,,,0.0,
47,Stimulus/Rare,,,0.212,,0.0
48,Response/Reaction,,,0.0,,-0.212
49,Stimulus/Frequent,,,,0.0,
50,Stimulus/Frequent,,,,0.0,
51,Stimulus/Frequent,,,,0.0,
52,Stimulus/Rare,,,0.368,,0.0
53,Response/Reaction,,,0.0,,-0.368
54,Stimulus/Frequent,,,,0.0,
55,Stimulus/Frequent,,,,0.0,
56,Stimulus/Frequent,,,,0.0,
57,Stimulus/Frequent,,,,0.0,
58,Stimulus/Frequent,,,,0.0,
59,Stimulus/Frequent,,,,0.0,
60,Stimulus/Rare,,,0.212,,0.0
61,Response/Reaction,,,0.0,,-0.212
62,Stimulus/Frequent,,,,0.0,
63,Stimulus/Frequent,,,,0.0,
64,Stimulus/Frequent,,,,0.0,
65,Stimulus/Frequent,,,,0.0,
66,Stimulus/Rare,,,0.272,,0.0
67,Response/Reaction,,,0.0,,-0.272
68,Stimulus/Frequent,,,,0.0,
69,Stimulus/Frequent,,,,0.0,
70,Stimulus/Rare,,,0.252,,0.0
71,Response/Reaction,,,0.0,,-0.252
72,Stimulus/Frequent,,,,0.0,
73,Stimulus/Frequent,,,,0.0,
74,Stimulus/Frequent,,,,0.0,
75,Stimulus/Frequent,,,,0.0,
76,Stimulus/Frequent,,,,0.0,
77,Stimulus/Rare,,,0.236,,0.0
78,Response/Reaction,,,0.0,,-0.236
79,Stimulus/Frequent,,,,0.0,
80,Stimulus/Frequent,,,,0.0,
81,Stimulus/Frequent,,,,0.0,
82,Stimulus/Frequent,,,,0.0,
83,Stimulus/Rare,,,0.352,,0.0
84,Response/Reaction,,,0.0,,-0.352
85,Stimulus/Frequent,,,,0.0,
86,Stimulus/Frequent,,,,0.0,
87,Stimulus/Frequent,,,,0.0,
88,Stimulus/Rare,,,0.216,,0.0
89,Response/Reaction,,,0.0,,-0.216
90,Stimulus/Frequent,,,,0.0,
91,Stimulus/Frequent,,,,0.0,
92,Stimulus/Frequent,,,,0.0,
93,Stimulus/Frequent,,,,0.0,
94,Stimulus/Frequent,,,,0.0,
95,Stimulus/Frequent,,,,0.0,
96,Stimulus/Rare,,,0.26,,0.0
97,Response/Reaction,,,0.0,,-0.26
98,Stimulus/Frequent,,,,0.0,
99,Stimulus/Frequent,,,,0.0,
100,Stimulus/Frequent,,,,0.0,
101,Stimulus/Rare,,,0.3,,0.0
102,Response/Reaction,,,0.0,,-0.3
103,Stimulus/Frequent,,,,0.0,
104,Stimulus/Frequent,,,,0.0,
105,Stimulus/Frequent,,,,0.0,
106,Stimulus/Frequent,,,,0.0,
107,Stimulus/Frequent,,,0.208,0.0,
108,Response/Reaction,,,0.0,-0.208,
109,Stimulus/Rare,,,0.204,,0.0
110,Response/Reaction,,,0.0,,-0.204
111,Stimulus/Frequent,,,,0.0,
112,Stimulus/Frequent,,,,0.0,
113,Stimulus/Rare,,,0.468,,0.0
114,Response/Reaction,,,0.0,0.928,-0.468
115,Stimulus/Frequent,,,,0.0,
116,Stimulus/Frequent,,,,0.0,
117,Stimulus/Frequent,,,,0.0,
118,Stimulus/Frequent,,,,0.0,
119,Stimulus/Rare,,,0.272,,0.0
120,Response/Reaction,,,0.0,,-0.272
121,Stimulus/Frequent,,,,0.0,
122,Stimulus/Frequent,,,,0.0,
123,Stimulus/Frequent,,,,0.0,
124,Stimulus/Frequent,,,,0.0,
125,Stimulus/Frequent,,,,0.0,
126,Stimulus/Rare,,,0.292,,0.0
127,Response/Reaction,,,0.0,,-0.292
128,Stimulus/Frequent,,,,0.0,
129,Stimulus/Frequent,,,,0.0,
130,Stimulus/Frequent,,,,0.0,
131,Stimulus/Rare,,,0.264,,0.0
132,Response/Reaction,,,0.0,,-0.264
133,Stimulus/Frequent,,,,0.0,
134,Stimulus/Frequent,,,,0.0,
135,Stimulus/Frequent,,,,0.0,
136,Stimulus/Frequent,,,,0.0,
137,Stimulus/Frequent,,,,0.0,
138,Stimulus/Frequent,,,,0.0,
139,Stimulus/Rare,,,0.248,,0.0
140,Response/Reaction,,,0.0,,-0.248
141,Stimulus/Frequent,,,,0.0,
142,Stimulus/Frequent,,,,0.0,
143,Stimulus/Frequent,,,,0.0,
144,Stimulus/Frequent,,,,0.0,
145,Stimulus/Rare,,,0.412,,0.0
146,Response/Reaction,,,0.0,0.984,-0.412
147,Stimulus/Frequent,,,,0.0,
148,Stimulus/Frequent,,,,0.0,
149,Stimulus/Rare,,,0.344,,0.0
150,Response/Reaction,,,0.0,,-0.344
151,Stimulus/Frequent,,,,0.0,
152,Stimulus/Frequent,,,,0.0,
153,Stimulus/Frequent,,,,0.0,
154,Stimulus/Frequent,,,,0.0,
155,Stimulus/Frequent,,,0.196,0.0,
156,Response/Reaction,,,0.0,-0.196,
157,Stimulus/Rare,,,0.208,,0.0
158,Response/Reaction,,,0.0,,-0.208
159,Stimulus/Frequent,,,,0.0,
160,Stimulus/Frequent,,,,0.0,
161,Stimulus/Frequent,,,,0.0,
162,Stimulus/Rare,,,0.36,,0.0
163,Response/Reaction,,,0.0,,-0.36
164,New Segment/,,0.0,,0.444,
165,Stimulus/Frequent,,-0.444,,0.0,
166,Stimulus/Frequent,,,,0.0,
167,Stimulus/Frequent,,,,0.0,
168,Stimulus/Frequent,,,,0.0,
169,Stimulus/Rare,,,0.304,,0.0
170,Response/Reaction,,,0.0,,-0.304
171,Stimulus/Frequent,,,,0.0,
172,Stimulus/Frequent,,,,0.0,
173,Stimulus/Frequent,,,,0.0,
174,Stimulus/Rare,,,0.348,,0.0
175,Response/Reaction,,,0.0,,-0.348
176,Stimulus/Frequent,,,,0.0,
177,Stimulus/Frequent,,,,0.0,
178,Stimulus/Frequent,,,,0.0,
179,Stimulus/Frequent,,,,0.0,
180,Stimulus/Frequent,,,,0.0,
181,Stimulus/Frequent,,,,0.0,
182,Stimulus/Rare,,,0.248,,0.0
183,Response/Reaction,,,0.0,,-0.248
184,Stimulus/Frequent,,,,0.0,
185,Stimulus/Frequent,,,,0.0,
186,Stimulus/Frequent,,,,0.0,
187,Stimulus/Rare,,,0.388,,0.0
188,Response/Reaction,,,0.0,,-0.388
189,Stimulus/Frequent,,,,0.0,
190,Stimulus/Frequent,,,,0.0,
191,Stimulus/Frequent,,,,0.0,
192,Stimulus/Frequent,,,,0.0,
