,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
2,stimulus/compatible/target_left,0.5517578125,,0.0,,,,0.0,0.5517578125,compatible/target_left,left
4,stimulus/compatible/target_left,0.4345703125,,0.0,,,,0.0,0.4345703125,compatible/target_left,left
6,stimulus/incompatible/target_right,,0.5087890625,,,,0.0,0.0,0.5087890625,incompatible/target_right,right
8,stimulus/compatible/target_left,0.50390625,,0.0,,1.44921875,,0.0,0.50390625,compatible/target_left,left
10,stimulus/incompatible/target_left,0.54296875,,,,0.0,,0.0,0.54296875,incompatible/target_left,left
12,stimulus/incompatible/target_left,0.5087890625,,,,0.0,,0.0,0.5087890625,incompatible/target_left,left
14,stimulus/incompatible/target_left,0.46484375,,,,0.0,,0.0,0.46484375,incompatible/target_left,left
16,stimulus/incompatible/target_left,0.5244140625,,,1.416015625,0.0,,0.0,0.5244140625,incompatible/target_left,left
18,stimulus/compatible/target_right,,0.484375,,0.0,1.466796875,,0.0,0.484375,compatible/target_right,right
20,stimulus/incompatible/target_left,0.4501953125,,,,0.0,1.4326171875,0.0,0.4501953125,incompatible/target_left,left
22,stimulus/incompatible/target_right,,0.4736328125,,,,0.0,0.0,0.4736328125,incompatible/target_right,right
24,stimulus/compatible/target_left,0.4111328125,,0.0,1.416015625,,,0.0,0.4111328125,compatible/target_left,left
26,stimulus/compatible/target_right,,0.458984375,,0.0,,,0.0,0.458984375,compatible/target_right,right
28,stimulus/compatible/target_right,,0.4013671875,,0.0,,,0.0,0.4013671875,compatible/target_right,right
30,stimulus/incompatible/target_left,0.4609375,,,,0.0,,0.0,0.4609375,incompatible/target_left,left
32,stimulus/incompatible/target_right,,0.48046875,,,,0.0,0.0,0.48046875,incompatible/target_right,right
34,stimulus/compatible/target_left,0.4267578125,,0.0,,,,0.0,0.4267578125,compatible/target_left,left
36,stimulus/incompatible/target_right,,0.4453125,,1.3994140625,,0.0,0.0,0.4453125,incompatible/target_right,right
38,stimulus/compatible/target_right,,0.4541015625,1.5,0.0,,,0.0,0.4541015625,compatible/target_right,right
40,stimulus/compatible/target_left,0.353515625,,0.0,,,,0.0,0.353515625,compatible/target_left,left
42,stimulus/compatible/target_right,,0.33203125,,0.0,,1.44921875,0.0,0.33203125,compatible/target_right,right
44,stimulus/incompatible/target_right,,0.4423828125,,,,0.0,0.0,0.4423828125,incompatible/target_right,right
46,stimulus/incompatible/target_right,,0.5224609375,,,,0.0,0.0,0.5224609375,incompatible/target_right,right
48,stimulus/incompatible/target_left,0.4267578125,,,,0.0,,0.0,0.4267578125,incompatible/target_left,left
50,stimulus/incompatible/target_right,,0.412109375,,,,0.0,0.0,0.412109375,incompatible/target_right,right
52,stimulus/incompatible/target_left,,0.375,,,0.0,,0.0,0.375,incompatible/target_left,right
54,stimulus/incompatible/target_left,0.41015625,,,,0.0,,0.0,0.41015625,incompatible/target_left,left
56,stimulus/compatible/target_right,,0.4208984375,,0.0,,,0.0,0.4208984375,compatible/target_right,right
